                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7774,                 1.6095,                 2.4078,                0.82815,                 0.6875,                0.73234,                0.47289,                  1.643,                   1.78,                 2.6471,              0.0011956,              0.0011956,              0.0011956
                     35,                 1.7699,                 1.6175,                 2.4151,                0.47965,                0.73333,                0.68206,                0.38435,                 1.8492,                 2.4798,                  2.771,              0.0011885,              0.0011885,              0.0011885
                     36,                 1.7508,                 1.6234,                 2.4266,                0.57726,                0.72788,                 0.7142,                0.48568,                 1.4959,                 1.7358,                 2.3668,              0.0011814,              0.0011814,              0.0011814
                     37,                 1.6576,                 1.5786,                 2.3237,                  0.692,                0.76667,                0.70986,                0.35261,                 1.6528,                 1.4948,                 2.6354,              0.0011744,              0.0011744,              0.0011744
                     38,                 1.7934,                 1.5745,                 2.3404,                0.97324,                  0.375,                0.62738,                0.24725,                 1.9188,                 2.2889,                  2.894,              0.0011673,              0.0011673,              0.0011673
                     39,                 1.8299,                 1.6051,                 2.4015,                0.77378,                0.66856,                 0.7067,                0.47064,                 1.5754,                 1.8854,                 2.6938,              0.0011602,              0.0011602,              0.0011602
                     40,                 1.8198,                 1.6185,                 2.3245,                0.71953,                0.73511,                0.76491,                0.49471,                 1.4036,                  2.079,                 2.3559,              0.0011531,              0.0011531,              0.0011531
                     41,                 1.6779,                 1.5361,                 2.2671,                0.73491,                0.70459,                0.67276,                0.32329,                 1.7671,                 2.4499,                 2.6035,              0.0011461,              0.0011461,              0.0011461
                     42,                 1.5756,                  1.414,                 2.2376,                 0.3184,                0.39583,                0.33415,                0.14336,                 1.9161,                 2.4775,                 3.0897,               0.001139,               0.001139,               0.001139
                     43,                 1.6636,                 1.4679,                 2.2326,                0.84676,                 0.6314,                0.67238,                0.41686,                 1.5441,                 1.5703,                 2.4122,              0.0011319,              0.0011319,              0.0011319
                     44,                 1.6626,                 1.5817,                 2.2673,                0.84665,                0.71667,                0.75007,                 0.4813,                 1.4798,                  1.567,                 2.3358,              0.0011248,              0.0011248,              0.0011248
